"1","NightScene","Shot","ExternalScene","joe","compound","CloseUpShot","gun","ExtremeCloseUpShot","fg","lt"
"2","NightScene","Shot","ExternalScene","compound","car","MediumShot","LowAngleShot","EstablishingShot","as","guard"
"3","restaurant","NightScene","ExternalScene","Shot","fon","joe","past","CloseUpShot","JOE","bowl"
"4","NightScene","Shot","ExternalScene","joe","fon","to","MediumCloseUpShot","MediumShot","CloseUpShot","look"
"5","bang","pha","river","ExternalScene","DayScene","Shot","target","white","boat","joe"
"6","bang","pha","river","ExternalScene","DayScene","Shot","joe","boat","CloseUpShot","kong"
"7","bangkok","NightScene","ExternalScene","Shot","kong","patpong","KONG","alley","MediumCloseUpShot","man"
"8","NightScene","Shot","ExternalScene","street","bangkok","EstablishingShot","joe","bg","LongShot","fg"
"9","NightScene","Shot","joe","InternalScene","condo","kong","CloseUpShot","MediumCloseUpShot","ExtremeCloseUpShot","face"
"10","Shot","NightScene","InternalScene","joe","man","CloseUpShot","to","bold","condo","JOE"
"11","bangkok","marketplace","open","NightScene","ExternalScene","Shot","joe","fon","CloseUpShot","elephant"
"12","bangkok","pho","temple","wat","ExternalScene","DayScene","Shot","fon","joe","CloseUpShot"
"13","NightScene","Shot","fon","house","InternalScene","joe","CloseUpShot","grandmother","to","MediumCloseUpShot"
"14","NightScene","InternalScene","Shot","pharmacy","joe","fon","CloseUpShot","past","ExtremeCloseUpShot","MediumCloseUpShot"
"15","NightScene","Shot","hotel","room","InternalScene","joe","anton","CloseUpShot","past","MediumShot"
"16","Shot","InternalScene","NightScene","room","compound","joe","house","CloseUpShot","aran","court"
"17","Shot","InternalScene","NightScene","joe","MediumShot","warehouse","guard","mercedes","CloseUpShot","airport"
"18","joe","Shot","condo","kong","NightScene","InternalScene","JOE","KONG","CloseUpShot","MediumCloseUpShot"
"19","joe","kong","market","night","NightScene","ExternalScene","Shot","past","MediumCloseUpShot","JOE"
"20","bell","cathedral","tower","NightScene","ExternalScene","Shot","joe","CloseUpShot","scope","through"
"21","NightScene","Shot","InternalScene","surat","CloseUpShot","aran","SURAT","office","restaraunt","ARAN"
"22","condo","joe","InternalScene","DayScene","Shot","floor","thug","second","bathroom","CloseUpShot"
"23","ExternalScene","Shot","DayScene","joe","backyard","kong","MediumShot","CloseUpShot","to","MediumCloseUpShot"
"24","Shot","DayScene","InternalScene","office","surat","joe","CloseUpShot","EstablishingShot","MediumShot","through"
"25","InternalScene","Shot","club","caribbean","NightScene","kong","aom","MediumCloseUpShot","MediumShot","room"
