"1","joe","kong","market","night","NightScene","ExternalScene","Shot","past","MediumCloseUpShot","JOE"
"2","NightScene","ExternalScene","Shot","bangkok","street","joe","MediumCloseUpShot","kong","MediumShot","alley"
"3","NightScene","InternalScene","Shot","CloseUpShot","joe","condo","kong","ExtremeCloseUpShot","face","look"
"4","compound","guard","one","NightScene","Shot","MediumShot","1","os","room","security"
"5","ExternalScene","Shot","EstablishingShot","NightScene","FullShot","joe","LongShot","bg","street","bangkok"
"6","ExternalScene","DayScene","Shot","joe","backyard","MediumShot","bangkok","pho","temple","wat"
"7","office","surat","InternalScene","DayScene","Shot","joe","CloseUpShot","EstablishingShot","MediumShot","through"
"8","caribbean","club","InternalScene","DayScene","Shot","kong","man","aom","bg","MediumCloseUpShot"
"9","NightScene","InternalScene","Shot","joe","condo","kong","JOE","KONG","CloseUpShot","MediumCloseUpShot"
"10","bell","cathedral","tower","NightScene","ExternalScene","Shot","joe","CloseUpShot","scope","gun"
"11","compound","NightScene","ExternalScene","Shot","joe","CloseUpShot","MediumShot","car","LowAngleShot","gun"
"12","bangkok","NightScene","ExternalScene","Shot","patpong","kong","KONG","man","larry","CloseUpShot"
"13","pharmacy","NightScene","InternalScene","Shot","joe","fon","CloseUpShot","ExtremeCloseUpShot","past","MediumCloseUpShot"
"14","NightScene","InternalScene","Shot","joe","warehouse","MediumShot","EstablishingShot","guard","to","MediumCloseUpShot"
"15","NightScene","Shot","club","InternalScene","caribbean","kong","aom","room","MediumCloseUpShot","MediumShot"
"16","ExternalScene","Shot","kong","joe","KONG","DayScene","JOE","condo","do","i"
"17","NightScene","ExternalScene","Shot","joe","CloseUpShot","MediumCloseUpShot","bangkok","marketplace","open","fon"
"18","NightScene","ExternalScene","Shot","joe","MediumShot","fon","to","house","park","move"
"19","InternalScene","DayScene","Shot","joe","condo","floor","second","bathroom","thug","CloseUpShot"
"20","bang","pha","river","ExternalScene","DayScene","Shot","joe","boat","target","white"
"21","room","NightScene","InternalScene","Shot","hotel","joe","anton","CloseUpShot","past","MediumShot"
"22","restaurant","NightScene","ExternalScene","Shot","joe","fon","past","CloseUpShot","MediumCloseUpShot","JOE"
"23","NightScene","InternalScene","Shot","house","fon","CloseUpShot","joe","grandmother","to","room"
"24","condo","joe","NightScene","ExternalScene","Shot","kong","MediumCloseUpShot","past","JOE","car"
"25","NightScene","InternalScene","Shot","surat","CloseUpShot","aran","office","restaraunt","SURAT","car"
