"1","joe","kong","market","night","past","?","money","eating","keep","some"
"2","bangkok","joe","street","fon","marketplace","open","pho","temple","wat","car"
"3","condo","joe","knife","kong","throat","against","with","hand","press","blade"
"4","compound","guard","security","room","2","monitor","one","os","they","1"
"5","to","joe","it","back","as","lt","rt","tilt","bg","move"
"6","kong","alley","bangkok","thug","street","bg","run","-lsb-","-rsb-","look"
"7","warehouse","joe","guard","as","bottle","move","bg","curtain","fg","plastic"
"8","club","kong","to","caribbean","aom","back","bg","room","briefcase","face"
"9","joe","kong","condo","past","?","face","to","look","man","door"
"10","bell","cathedral","tower","joe","scope","gun","through","pov","past","look"
"11","compound","car","guard","surat","from","move","shooter","aran","as","outside"
"12","bangkok","patpong","kong","man","larry","?","joe","tall","tourist","past"
"13","pharmacy","joe","fon","past","look","coworker","smile","face","to","..."
"14","joe","man","bold","mercedes","bg","fg","building","-lsb-","-rsb-","look"
"15","club","caribbean","kong","aom","room","girl","private","past","smile","back"
"16","joe","do","kong","condo","not","i","it","get","past","backyard"
"17","park","joe","fon","to","fg","move","look","mugger","os","as"
"18","compound","joe","gun","hallway","lt","face","fg","past","point","room"
"19","joe","surat","office","pov","through","scope","cross-hair","rifle","eye","window"
"20","bang","pha","river","joe","boat","target","white","move","fg","kong"
"21","hotel","room","joe","anton","past","hand","to","arm","gloved","door"
"22","restaurant","fon","joe","past","bowl","it","laugh","smile","...","eat"
"23","house","fon","joe","grandmother","to","room","court","interrogation","hand","window"
"24","condo","joe","floor","second","thug","to","look","bathroom","face","it"
"25","surat","office","aran","car","past","restaraunt","to","kong","sniper","bg"
